                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7853,                 1.9673,                 1.4452,                0.50364,                0.39215,                0.36947,                0.10034,                 2.7004,                 1.6235,                 1.3068,               0.070068,              0.0033258,              0.0033258
                      1,                 2.5446,                  1.558,                 1.2932,                 0.5715,                0.41435,                0.41744,                0.11718,                 2.6389,                 1.4664,                 1.2726,               0.039936,              0.0065272,              0.0065272
                      2,                 2.5105,                  1.502,                 1.2692,                0.60608,                0.42448,                0.44082,                0.12357,                  2.619,                 1.4664,                 1.2721,              0.0096725,              0.0095967,              0.0095967
                      3,                 2.4787,                 1.4672,                 1.2575,                 0.6254,                0.43427,                0.46035,                0.13234,                 2.5924,                 1.4521,                 1.2514,               0.009406,               0.009406,               0.009406
                      4,                 2.4421,                 1.4028,                 1.2455,                0.67573,                0.46141,                0.48742,                0.14272,                 2.5795,                 1.3681,                 1.2456,               0.009406,               0.009406,               0.009406
                      5,                 2.4153,                 1.3682,                 1.2379,                0.69398,                0.48954,                0.52308,                0.15449,                 2.5163,                 1.3207,                 1.2276,               0.009208,               0.009208,               0.009208
                      6,                 2.3935,                 1.3272,                 1.2277,                0.64771,                 0.4673,                0.49616,                0.14541,                 2.5467,                 1.3535,                 1.2347,                0.00901,                0.00901,                0.00901
                      7,                 2.3789,                 1.3067,                 1.2247,                0.70987,                0.50756,                 0.5471,                0.16513,                 2.4932,                 1.2682,                 1.2217,               0.008812,               0.008812,               0.008812
                      8,                 2.3605,                 1.2892,                 1.2245,                 0.6772,                0.47258,                0.50585,                0.14908,                 2.5546,                 1.3435,                 1.2461,               0.008614,               0.008614,               0.008614
                      9,                 2.3535,                 1.2678,                 1.2159,                0.73375,                 0.5154,                0.56972,                 0.1752,                 2.4915,                 1.2491,                 1.2216,               0.008416,               0.008416,               0.008416
                     10,                 2.3354,                 1.2508,                 1.2102,                0.72659,                0.51837,                0.56893,                 0.1775,                 2.4613,                 1.2561,                 1.2048,               0.008218,               0.008218,               0.008218
                     11,                 2.3351,                 1.2453,                 1.2042,                0.73043,                0.52979,                0.58055,                0.17772,                 2.4697,                 1.2505,                 1.2175,                0.00802,                0.00802,                0.00802
                     12,                  2.325,                 1.2283,                 1.1993,                0.71524,                0.51897,                0.56897,                0.17639,                 2.4702,                 1.2341,                  1.213,               0.007822,               0.007822,               0.007822
                     13,                 2.3131,                 1.2151,                 1.1982,                0.70049,                 0.5235,                 0.5669,                0.17428,                 2.4577,                 1.2706,                 1.2068,               0.007624,               0.007624,               0.007624
                     14,                 2.3053,                 1.2031,                 1.1974,                0.74473,                 0.5437,                0.59863,                0.18754,                 2.4459,                 1.1916,                 1.2009,               0.007426,               0.007426,               0.007426
                     15,                 2.2986,                 1.1971,                 1.1971,                0.74289,                0.54453,                0.60251,                0.19008,                   2.43,                 1.1931,                 1.2002,               0.007228,               0.007228,               0.007228
                     16,                 2.2925,                 1.1862,                 1.1902,                0.71463,                0.52553,                0.57109,                0.17613,                 2.4662,                 1.2505,                 1.2027,                0.00703,                0.00703,                0.00703
                     17,                 2.2821,                 1.1778,                 1.1899,                0.73809,                0.54072,                0.59331,                0.18636,                 2.4419,                 1.2093,                 1.1985,               0.006832,               0.006832,               0.006832
                     18,                 2.2812,                 1.1679,                 1.1856,                0.73871,                0.54472,                0.59669,                0.18907,                 2.4443,                 1.1832,                 1.2015,               0.006634,               0.006634,               0.006634
                     19,                 2.2726,                 1.1617,                 1.1846,                0.74554,                0.55387,                0.60755,                0.19448,                 2.4164,                 1.1901,                 1.1919,               0.006436,               0.006436,               0.006436
                     20,                 2.2654,                 1.1549,                 1.1818,                0.74483,                0.55932,                0.61522,                0.19836,                 2.4065,                 1.1681,                 1.1872,               0.006238,               0.006238,               0.006238
                     21,                 2.2639,                 1.1511,                 1.1806,                0.75576,                0.55458,                0.61358,                0.19848,                  2.407,                 1.1762,                 1.1889,                0.00604,                0.00604,                0.00604
                     22,                 2.2552,                 1.1407,                 1.1783,                0.75389,                0.56999,                0.62436,                0.19926,                 2.4167,                  1.145,                 1.1886,               0.005842,               0.005842,               0.005842
                     23,                 2.2552,                 1.1397,                 1.1776,                0.75123,                 0.5557,                0.60934,                0.19574,                 2.4154,                   1.17,                 1.1846,               0.005644,               0.005644,               0.005644
                     24,                 2.2511,                 1.1326,                 1.1762,                0.74938,                0.56157,                0.62033,                0.19885,                 2.4098,                 1.1668,                 1.1864,               0.005446,               0.005446,               0.005446
                     25,                 2.2379,                  1.124,                 1.1711,                0.75796,                0.56864,                0.62669,                0.20253,                 2.3987,                 1.1425,                  1.181,               0.005248,               0.005248,               0.005248
                     26,                 2.2308,                  1.118,                 1.1711,                0.75573,                0.57606,                  0.632,                0.20346,                 2.3971,                 1.1392,                 1.1828,                0.00505,                0.00505,                0.00505
                     27,                 2.2306,                 1.1147,                 1.1636,                0.75868,                0.57427,                0.63573,                0.20741,                 2.3835,                 1.1331,                 1.1781,               0.004852,               0.004852,               0.004852
                     28,                 2.2208,                 1.1077,                 1.1674,                0.75152,                0.57021,                0.62391,                0.20179,                 2.4013,                 1.1451,                 1.1799,               0.004654,               0.004654,               0.004654
                     29,                 2.2231,                 1.1023,                 1.1646,                0.76148,                0.58644,                0.63842,                0.20818,                 2.3836,                 1.1341,                  1.178,               0.004456,               0.004456,               0.004456
                     30,                 2.2137,                 1.0971,                 1.1632,                0.76007,                0.57606,                0.63453,                0.20518,                 2.3935,                 1.1233,                 1.1804,               0.004258,               0.004258,               0.004258
                     31,                 2.2064,                 1.0888,                 1.1576,                0.76386,                0.57654,                0.63668,                0.20757,                 2.3943,                 1.1182,                 1.1782,                0.00406,                0.00406,                0.00406
                     32,                 2.2047,                 1.0835,                 1.1567,                 0.7643,                0.58223,                0.63856,                0.20874,                 2.3899,                 1.1183,                 1.1788,               0.003862,               0.003862,               0.003862
                     33,                  2.198,                 1.0806,                 1.1577,                0.76119,                0.58415,                 0.6382,                0.20727,                  2.384,                 1.1299,                  1.175,               0.003664,               0.003664,               0.003664
                     34,                 2.1934,                 1.0724,                 1.1512,                0.76442,                0.57623,                0.63397,                0.20578,                 2.4037,                 1.1129,                 1.1779,               0.003466,               0.003466,               0.003466
