                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9935,                 2.5095,                 1.4982,                0.90826,                0.09028,                0.09873,                0.03867,                 1.8951,                 1.7607,                 1.4209,               0.070114,              0.0033207,              0.0033207
                      1,                 1.9007,                  1.866,                 1.4595,                0.66094,                 0.1147,                0.12127,                0.03869,                 2.2259,                 1.7291,                 1.5789,               0.039982,              0.0065222,              0.0065222
                      2,                  1.905,                 1.7731,                 1.4567,                 0.6091,                0.20504,                0.16416,                0.07094,                 1.8765,                 1.6165,                 1.4163,              0.0097186,              0.0095918,              0.0095918
                      3,                  1.915,                 1.7307,                 1.4847,                0.63587,                0.18378,                0.16688,                0.06514,                 1.9794,                  1.515,                 1.5003,               0.009406,               0.009406,               0.009406
                      4,                 1.8976,                 1.6304,                 1.4715,                0.44145,                0.16901,                0.13352,                0.05793,                 1.8326,                 1.3466,                 1.3796,               0.009406,               0.009406,               0.009406
                      5,                 1.8839,                 1.5631,                 1.4749,                0.65969,                0.20893,                0.16458,                0.07708,                 1.9416,                 1.3816,                 1.4538,               0.009208,               0.009208,               0.009208
                      6,                 1.8603,                 1.5255,                 1.4637,                0.69093,                0.21448,                0.24571,                0.09774,                 2.0935,                 1.2781,                 1.5007,                0.00901,                0.00901,                0.00901
                      7,                 1.8572,                 1.5036,                   1.46,                 0.6333,                0.19859,                0.22003,                0.08509,                 2.0344,                 1.3585,                 1.4722,               0.008812,               0.008812,               0.008812
                      8,                 1.8527,                 1.4615,                 1.4554,                0.55331,                0.25231,                0.24461,                0.08473,                 2.1577,                 1.3067,                 1.5409,               0.008614,               0.008614,               0.008614
                      9,                 1.8371,                 1.4235,                 1.4428,                0.68078,                0.21595,                0.23773,                0.10521,                 1.9133,                 1.1151,                 1.3978,               0.008416,               0.008416,               0.008416
                     10,                  1.829,                 1.3989,                 1.4428,                0.34489,                0.19566,                0.12037,                 0.0531,                  1.831,                 1.4804,                 1.3833,               0.008218,               0.008218,               0.008218
                     11,                 1.8123,                 1.3916,                 1.4424,                0.58429,                0.29723,                0.26667,                0.11568,                 1.9415,                 1.2661,                 1.4377,                0.00802,                0.00802,                0.00802
                     12,                 1.8114,                 1.3563,                 1.4233,                0.61285,                0.17484,                0.15498,                0.06018,                  2.045,                 1.2376,                  1.449,               0.007822,               0.007822,               0.007822
                     13,                 1.8153,                 1.3591,                 1.4424,                0.46637,                0.29694,                0.21468,                0.09965,                  1.973,                 1.2349,                 1.4425,               0.007624,               0.007624,               0.007624
                     14,                 1.7914,                 1.3326,                 1.4236,                0.47751,                0.34248,                0.28279,                0.10767,                 2.0937,                 1.1876,                 1.5014,               0.007426,               0.007426,               0.007426
                     15,                  1.785,                 1.3307,                 1.4248,                  0.589,                0.26638,                0.25767,                0.10889,                  1.963,                  1.196,                 1.4293,               0.007228,               0.007228,               0.007228
                     16,                 1.7854,                 1.3107,                 1.4167,                0.50022,                0.35424,                0.32573,                0.15433,                 1.9042,                 1.1153,                 1.3946,                0.00703,                0.00703,                0.00703
                     17,                 1.7616,                 1.2962,                 1.4101,                0.51043,                 0.3055,                 0.3693,                0.15926,                 1.9884,                 1.0828,                 1.4302,               0.006832,               0.006832,               0.006832
                     18,                 1.7676,                 1.2724,                 1.4071,                0.58173,                0.32409,                0.31287,                0.12994,                  2.064,                 1.1327,                 1.5002,               0.006634,               0.006634,               0.006634
                     19,                   1.76,                 1.2836,                 1.4077,                0.55589,                0.28553,                0.33995,                0.14508,                 2.0452,                 1.0807,                 1.4664,               0.006436,               0.006436,               0.006436
                     20,                 1.7499,                 1.2575,                 1.3997,                 0.4824,                0.49656,                0.40127,                0.17328,                 1.9322,                 1.1352,                 1.4111,               0.006238,               0.006238,               0.006238
                     21,                 1.7489,                 1.2383,                 1.3911,                0.63952,                0.34761,                0.37712,                0.17119,                 1.8707,                  1.086,                 1.3653,                0.00604,                0.00604,                0.00604
                     22,                 1.7516,                 1.2296,                  1.394,                0.36789,                0.47946,                0.42208,                0.18938,                 2.1359,                 1.0755,                 1.4793,               0.005842,               0.005842,               0.005842
                     23,                 1.7292,                 1.2178,                 1.3834,                0.47315,                0.46459,                0.40431,                0.18011,                 2.0339,                  1.071,                 1.4468,               0.005644,               0.005644,               0.005644
                     24,                 1.7341,                 1.2244,                  1.392,                0.63707,                0.36043,                0.42958,                0.21494,                 1.9774,                 1.0796,                 1.3969,               0.005446,               0.005446,               0.005446
                     25,                 1.7216,                 1.2038,                 1.3779,                0.64313,                0.37893,                0.38455,                0.22305,                  1.894,                 1.0918,                 1.3639,               0.005248,               0.005248,               0.005248
                     26,                 1.7172,                 1.2038,                 1.3753,                0.54948,                0.38042,                0.44756,                0.19033,                 1.9431,                 1.0557,                 1.4204,                0.00505,                0.00505,                0.00505
                     27,                  1.708,                 1.1821,                 1.3716,                0.70798,                0.42997,                0.47869,                0.21761,                 2.1514,                0.99874,                 1.4814,               0.004852,               0.004852,               0.004852
                     28,                 1.7112,                 1.1761,                 1.3738,                0.46686,                0.54895,                0.48759,                0.20665,                 1.9211,                  1.019,                 1.3899,               0.004654,               0.004654,               0.004654
                     29,                 1.6988,                 1.1721,                 1.3656,                0.30696,                0.55146,                0.41379,                 0.2254,                 1.9857,                 1.0586,                 1.4045,               0.004456,               0.004456,               0.004456
                     30,                 1.7018,                 1.1712,                 1.3656,                0.54345,                0.45559,                0.46006,                0.25998,                 1.9723,                0.98035,                 1.3964,               0.004258,               0.004258,               0.004258
